# regular test

a-1	a	A A
f-2	a f r i kh a	A A W R Ip Kp Aa
f-3	h a n i f	Hx2 A N Ip W

kh-1	kh a w a	Kp A Wb A
kh-2	m o s kh o w a	M Ob S Kp Ob Wb A
kh-3	zr o ng kh a b a	Zz Ob A G Kp A B Aa
kh-4	z o kh o lvs l	Ch Ob Kp Ob Lv L
kh-5	t a kh a lvs	Tp A Kp Aa Lv
kh-6	d o kh o lvs	Dp Ob Kp Ob Lv
kh-7	t a n kh	Tp A A Kp

gh-1	gh u ng sh e	Gp Op A G Sh E
gh-2	d a gh u ng	Dp A Gp Op A G2

hh-1	hh l o r	A Hr L Ob R
hh-2	b u d d hh a	B Op Dp Dp A Hr A
hh-3	t e hh e n i g	Tp E A Hr E N Ip Hp
hh-4	w e i hh	Wb E A Ip A Hr

jy-1	jy a ng g a r	B Yp A A G Hb A R
jy-2	jy i b	B Yp Ip B2
jy-3	jy a m c a	B Yp A M J A
jy-4	d o m jy a b	Dp Ob M B Yp A B2

ny-1	ny i m i	Ny Ip M Ip
ny-2	j i ny o	Cp Ip Ny Ob

zr-1	zr a n d a n	Zz A A Dp A A
zr-2	t a i zr i	Tp A A Ip Zz Ip
zr-3	d a n zr	Dp A A Zz

lh-1	lh a r a m b a	L Hr A R A M B Aa
lh-2	lh a s a	L Hr A S A
lh-3	lh a g b a	L Hr A Hp B Aa
lh-4	oe lh d oe r	A Ot L Hr Dp Ot R

# Mongolian specific

syllabic-n-1	a n a h u	A A N A Hx Up
syllabic-n-2	a n d a h u	A A A Dp A Hx Up

syllabic-h/g-1	h a g a c a h u	Hx2 A Hb A J A Hx Up
syllabic-h/g-2	h i g e lvs d	K Ip G E Lv Dp
syllabic-h/g-3	e l e g d e h ue	A E L E Hp Dp E K O

particle-1	mvs n i	- N2 Ip

devsger-1	s a i n	S A A Ip A
devsger-2	a d u u n	A A Dp Op O A

bowed-1	a l i b a	A A L Ip B Aa
bowed-2	t a n i i h i	Tp A N Ip A Ip K Ip
bowed-3	a lvs b u	A A Lv B Op
bowed-4	i r e h ue	A Ip R E K O
